Personnel,Artist,Album,Personnel Role,Number of Tracks,Recording Period,Date of Release,Label,Runtime,Singles,Link
Al Schmitt,Steely Dan,Aja (1977),Engineer,7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
Bernard Purdie,Steely Dan,Aja (1977),Drums,7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
Bernie Grundman,Steely Dan,Aja (1977),Mastering Engineer,7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
Bill Schnee,Steely Dan,Aja (1977),Engineer,7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
Chuck Findley,Steely Dan,Aja (1977),Brass,7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
Chuck Rainey,Steely Dan,Aja (1977),Bass Guitar,7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
Clydie King,Steely Dan,Aja (1977),Backing Vocals,7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
Dean Parks,Steely Dan,Aja (1977),"Guitar, Rhythm Arrangments",7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
Don Grolnick,Steely Dan,Aja (1977),Clavinet,7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
Donald Fagen,Steely Dan,Aja (1977),"Lead Vocals, Synthesizer, Backing Vocals, Rhythm Arrangements, Writer",7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
Ed Greene,Steely Dan,Aja (1977),Drums,7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
Elliot Scheiner,Steely Dan,Aja (1977),Engineer,7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
Gary Coleman,Steely Dan,Aja (1977),Percussion,7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
Gary Katz,Steely Dan,Aja (1977),Producer,7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
Jackie Kelso,Steely Dan,Aja (1977),"Saxophone, Flute",7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
Jay Graydon,Steely Dan,Aja (1977),Guitar Solo,7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
Jim Horn,Steely Dan,Aja (1977),Rhythm Arrangements,7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
Jim Keltner,Steely Dan,Aja (1977),"Percussion, Drums",7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
Joe Sample,Steely Dan,Aja (1977),"Clavinet, Rhodes Piano",7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
Larry Carlton,Steely Dan,Aja (1977),"Guitar, Rhythm Arrangments",7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
Lenise Bent,Steely Dan,Aja (1977),Assistant Engineer,7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
Linda Tyler,Steely Dan,Aja (1977),Assistant Engineer,7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
Michael McDonald,Steely Dan,Aja (1977),Backing Vocals,7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
Michael Omartian,Steely Dan,Aja (1977),"Piano, Rhythm Arrangements",7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
Paul Griffin,Steely Dan,Aja (1977),"Rhodes Piano, Backing Vocals",7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
Plas Johnson,Steely Dan,Aja (1977),"Saxophone, Flute",7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
Rick Marotta,Steely Dan,Aja (1977),Drums,7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
Roger Nichols,Steely Dan,Aja (1977),Executive Engineer,7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
Steve Gadd,Steely Dan,Aja (1977),Drums,7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
Steve Khan,Steely Dan,Aja (1977),Guitar,7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
Timothy B. Schmit,Steely Dan,Aja (1977),Backing Vocals,7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
Tom Scott,Steely Dan,Aja (1977),"Horn Arrangement, Horn Conducting, Saxophone, Flute, Lyricon",7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
Victor Feldman,Steely Dan,Aja (1977),"Rhodes Piano, Percussion, Marimba, Vibraphone",7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
Walter Becker,Steely Dan,Aja (1977),"Guitar, Bass Guitar, Rhythm Arrangements, Writer",7,Late 1976 - Jul 1977,"September 23, 1977",ABC,0:39:56,"Peg (Nov. 1977), Deacon Blues (Mar. 1978), Josie (Aug. 1978)",https://www.discogs.com/master/16921-Steely-Dan-Aja
James Newton Howard,Ambrosia,Ambrosia (1975),Synthesizer Programming,8,1974,February 1975,20th Century Fox,0:40:00,"Holdin' on to Yesterday, 'Nice, Nice, Very Nice' (both Jun. 1975)",https://www.discogs.com/master/89022-Ambrosia-Ambrosia
Abraham Laboriel,Al Jarreau,Breakin' Away (1981),Bass Guitar,9,1981,"June 30, 1981",Warner Bros.,0:41:07,"We're in This Love Together (Jul. 1981), Breakin' Away (Unknown), Teach Me Tonight (Unknown)",https://www.discogs.com/master/38071-Al-Jarreau-Breakin-Away
Chuck Findley,Al Jarreau,Breakin' Away (1981),Trumpet,9,1981,"July 1, 1981",Warner Bros.,0:41:07,"We're in This Love Together (Jul. 1981), Breakin' Away (Unknown), Teach Me Tonight (Unknown)",https://www.discogs.com/master/38071-Al-Jarreau-Breakin-Away
David Foster,Al Jarreau,Breakin' Away (1981),"Acoustic Piano, Rhodes Piano, Synthesizers, String Arrangements",9,1981,"July 2, 1981",Warner Bros.,0:41:07,"We're in This Love Together (Jul. 1981), Breakin' Away (Unknown), Teach Me Tonight (Unknown)",https://www.discogs.com/master/38071-Al-Jarreau-Breakin-Away
Dean Parks,Al Jarreau,Breakin' Away (1981),Electric Guitar,9,1981,"July 3, 1981",Warner Bros.,0:41:07,"We're in This Love Together (Jul. 1981), Breakin' Away (Unknown), Teach Me Tonight (Unknown)",https://www.discogs.com/master/38071-Al-Jarreau-Breakin-Away
Jay Graydon,Al Jarreau,Breakin' Away (1981),"Synthesizer Programming, Electric Guitar, Rhythm Arrangements, Vocal Arrangements, Producer, Mixing",9,1981,"July 4, 1981",Warner Bros.,0:41:07,"We're in This Love Together (Jul. 1981), Breakin' Away (Unknown), Teach Me Tonight (Unknown)",https://www.discogs.com/master/38071-Al-Jarreau-Breakin-Away
Jeff Porcaro,Al Jarreau,Breakin' Away (1981),Drums,9,1981,"July 5, 1981",Warner Bros.,0:41:07,"We're in This Love Together (Jul. 1981), Breakin' Away (Unknown), Teach Me Tonight (Unknown)",https://www.discogs.com/master/38071-Al-Jarreau-Breakin-Away
Jerry Hey,Al Jarreau,Breakin' Away (1981),"Flugelhorn, Trumpet, Horn Arrangements",9,1981,"July 6, 1981",Warner Bros.,0:41:07,"We're in This Love Together (Jul. 1981), Breakin' Away (Unknown), Teach Me Tonight (Unknown)",https://www.discogs.com/master/38071-Al-Jarreau-Breakin-Away
Michael Boddicker,Al Jarreau,Breakin' Away (1981),"Synthesizer Programming, Synthesizers",9,1981,"July 7, 1981",Warner Bros.,0:41:07,"We're in This Love Together (Jul. 1981), Breakin' Away (Unknown), Teach Me Tonight (Unknown)",https://www.discogs.com/master/38071-Al-Jarreau-Breakin-Away
Michael Omartian,Al Jarreau,Breakin' Away (1981),"Synthesizers, Rhodes Piano",9,1981,"July 8, 1981",Warner Bros.,0:41:07,"We're in This Love Together (Jul. 1981), Breakin' Away (Unknown), Teach Me Tonight (Unknown)",https://www.discogs.com/master/38071-Al-Jarreau-Breakin-Away
Richard Page,Al Jarreau,Breakin' Away (1981),Backing Vocals,9,1981,"July 9, 1981",Warner Bros.,0:41:07,"We're in This Love Together (Jul. 1981), Breakin' Away (Unknown), Teach Me Tonight (Unknown)",https://www.discogs.com/master/38071-Al-Jarreau-Breakin-Away
Steve Gadd,Al Jarreau,Breakin' Away (1981),Drums,9,1981,"July 10, 1981",Warner Bros.,0:41:07,"We're in This Love Together (Jul. 1981), Breakin' Away (Unknown), Teach Me Tonight (Unknown)",https://www.discogs.com/master/38071-Al-Jarreau-Breakin-Away
Steve George,Al Jarreau,Breakin' Away (1981),Backing Vocals,9,1981,"July 11, 1981",Warner Bros.,0:41:07,"We're in This Love Together (Jul. 1981), Breakin' Away (Unknown), Teach Me Tonight (Unknown)",https://www.discogs.com/master/38071-Al-Jarreau-Breakin-Away
Steve Lukather,Al Jarreau,Breakin' Away (1981),Electric Guitar,9,1981,"July 12, 1981",Warner Bros.,0:41:07,"We're in This Love Together (Jul. 1981), Breakin' Away (Unknown), Teach Me Tonight (Unknown)",https://www.discogs.com/master/38071-Al-Jarreau-Breakin-Away
Tom Scott,Al Jarreau,Breakin' Away (1981),Horns,9,1981,"July 13, 1981",Warner Bros.,0:41:07,"We're in This Love Together (Jul. 1981), Breakin' Away (Unknown), Teach Me Tonight (Unknown)",https://www.discogs.com/master/38071-Al-Jarreau-Breakin-Away
David Leonard,Eddie Money,Can't Hold Back (1986),Engineer,10,1985-1986,"August 8, 1986",Columbia,0:40:30,"Take Me Home Tonight (1986), I Wanna Go Back (1986), Endless Nights (1987), We Should Be Sleeping (1987)",https://www.discogs.com/master/98136-Eddie-Money-Cant-Hold-Back
Bernie Grundman,,Can't Hold Back (1986),Mastering Engineer,10,1985-1986,"August 8, 1986",Columbia,0:40:30,"Take Me Home Tonight (1986), I Wanna Go Back (1986), Endless Nights (1987), We Should Be Sleeping (1987)",https://www.discogs.com/master/98136-Eddie-Money-Cant-Hold-Back
Nathan East,Eddie Money,Can't Hold Back (1986),Bass Guitar,10,1985-1986,"August 8, 1986",Columbia,0:40:30,"Take Me Home Tonight (1986), I Wanna Go Back (1986), Endless Nights (1987), We Should Be Sleeping (1987)",https://www.discogs.com/master/98136-Eddie-Money-Cant-Hold-Back
Richard Page,Eddie Money,Can't Hold Back (1986),Backing Vocals,10,1985-1986,"August 8, 1986",Columbia,0:40:30,"Take Me Home Tonight (1986), I Wanna Go Back (1986), Endless Nights (1987), We Should Be Sleeping (1987)",https://www.discogs.com/master/98136-Eddie-Money-Cant-Hold-Back
Steve George,Eddie Money,Can't Hold Back (1986),"Keyboards, Backing Vocals",10,1985-1986,"August 8, 1986",Columbia,0:40:30,"Take Me Home Tonight (1986), I Wanna Go Back (1986), Endless Nights (1987), We Should Be Sleeping (1987)",https://www.discogs.com/master/98136-Eddie-Money-Cant-Hold-Back
Bobby Hata,Christopher Cross,Christopher Cross (1979),Mastering,10,July 1979,"December 27, 1979",Warner Bros.,0:38:32,"Ride Like the Wind (Feb. 15, 1980), Sailing (Jun. 15, 1980), Never Be the Same (Oct. 1980), Say You'll Be Mine (Mar. 1981)",https://www.discogs.com/master/113522-Christopher-Cross-Christopher-Cross
Christopher Cross,Christopher Cross,Christopher Cross (1979),"Writer, Lead Vocals, Electric Guitar, Acoustic Guitar, Backing Vocals",10,July 1979,"December 27, 1979",Warner Bros.,0:38:32,"Ride Like the Wind (Feb. 15, 1980), Sailing (Jun. 15, 1980), Never Be the Same (Oct. 1980), Say You'll Be Mine (Mar. 1981)",https://www.discogs.com/master/113522-Christopher-Cross-Christopher-Cross
Chuck Findley,Christopher Cross,Christopher Cross (1979),"Trumpet, Flugelhorn",10,July 1979,"December 27, 1979",Warner Bros.,0:38:32,"Ride Like the Wind (Feb. 15, 1980), Sailing (Jun. 15, 1980), Never Be the Same (Oct. 1980), Say You'll Be Mine (Mar. 1981)",https://www.discogs.com/master/113522-Christopher-Cross-Christopher-Cross
Jackie Kelso,Christopher Cross,Christopher Cross (1979),Saxophone,10,July 1979,"December 27, 1979",Warner Bros.,0:38:32,"Ride Like the Wind (Feb. 15, 1980), Sailing (Jun. 15, 1980), Never Be the Same (Oct. 1980), Say You'll Be Mine (Mar. 1981)",https://www.discogs.com/master/113522-Christopher-Cross-Christopher-Cross
Jay Graydon,Christopher Cross,Christopher Cross (1979),Guitar,10,July 1979,"December 27, 1979",Warner Bros.,0:38:32,"Ride Like the Wind (Feb. 15, 1980), Sailing (Jun. 15, 1980), Never Be the Same (Oct. 1980), Say You'll Be Mine (Mar. 1981)",https://www.discogs.com/master/113522-Christopher-Cross-Christopher-Cross
JD Souther,Christopher Cross,Christopher Cross (1979),Backing Vocals,10,July 1979,"December 27, 1979",Warner Bros.,0:38:32,"Ride Like the Wind (Feb. 15, 1980), Sailing (Jun. 15, 1980), Never Be the Same (Oct. 1980), Say You'll Be Mine (Mar. 1981)",https://www.discogs.com/master/113522-Christopher-Cross-Christopher-Cross
Jim Horn,Christopher Cross,Christopher Cross (1979),Saxophone,10,July 1979,"December 27, 1979",Warner Bros.,0:38:32,"Ride Like the Wind (Feb. 15, 1980), Sailing (Jun. 15, 1980), Never Be the Same (Oct. 1980), Say You'll Be Mine (Mar. 1981)",https://www.discogs.com/master/113522-Christopher-Cross-Christopher-Cross
Larry Carlton,Christopher Cross,Christopher Cross (1979),Guitar,10,July 1979,"December 27, 1979",Warner Bros.,0:38:32,"Ride Like the Wind (Feb. 15, 1980), Sailing (Jun. 15, 1980), Never Be the Same (Oct. 1980), Say You'll Be Mine (Mar. 1981)",https://www.discogs.com/master/113522-Christopher-Cross-Christopher-Cross
Lenny Castro,Christopher Cross,Christopher Cross (1979),Percussion,10,July 1979,"December 27, 1979",Warner Bros.,0:38:32,"Ride Like the Wind (Feb. 15, 1980), Sailing (Jun. 15, 1980), Never Be the Same (Oct. 1980), Say You'll Be Mine (Mar. 1981)",https://www.discogs.com/master/113522-Christopher-Cross-Christopher-Cross
Marty McCall,Christopher Cross,Christopher Cross (1979),Backing Vocals,10,July 1979,"December 27, 1979",Warner Bros.,0:38:32,"Ride Like the Wind (Feb. 15, 1980), Sailing (Jun. 15, 1980), Never Be the Same (Oct. 1980), Say You'll Be Mine (Mar. 1981)",https://www.discogs.com/master/113522-Christopher-Cross-Christopher-Cross
